iteration,time,similarity,outfile,error,error
0,0,0.189413,final_report_data/synthetic/w0-2_lambda0-1_beta100/nonrigid_iter0.xyz,0.5233933555982522,0.5233933555982522
1,12.2615,0.186125,final_report_data/synthetic/w0-2_lambda0-1_beta100/nonrigid_iter1_sim0.186125.xyz,0.35007607279317376,0.35007607279317376
2,23.6981,0.153441,final_report_data/synthetic/w0-2_lambda0-1_beta100/nonrigid_iter2_sim0.153441.xyz,0.26724925898402513,0.26724925898402513
3,35.9269,0.126592,final_report_data/synthetic/w0-2_lambda0-1_beta100/nonrigid_iter3_sim0.126592.xyz,0.18214094219923282,0.18214094219923282
4,47.8485,0.101407,final_report_data/synthetic/w0-2_lambda0-1_beta100/nonrigid_iter4_sim0.101407.xyz,0.11049695075983057,0.11049695075983057
5,59.8595,0.0798934,final_report_data/synthetic/w0-2_lambda0-1_beta100/nonrigid_iter5_sim0.079893.xyz,0.06284637236453777,0.06284637236453777
6,71.2313,0.0638381,final_report_data/synthetic/w0-2_lambda0-1_beta100/nonrigid_iter6_sim0.063838.xyz,0.03619296613324667,0.03619296613324667
7,83.3896,0.0536189,final_report_data/synthetic/w0-2_lambda0-1_beta100/nonrigid_iter7_sim0.053619.xyz,0.023448263019740994,0.023448263019740994
8,96.5853,0.0463728,final_report_data/synthetic/w0-2_lambda0-1_beta100/nonrigid_iter8_sim0.046373.xyz,0.01690563358601167,0.01690563358601167
9,114.471,0.0416969,final_report_data/synthetic/w0-2_lambda0-1_beta100/nonrigid_iter9_sim0.041697.xyz,0.012980686521095538,0.012980686521095538
10,125.884,0.0380744,final_report_data/synthetic/w0-2_lambda0-1_beta100/nonrigid_iter10_sim0.038074.xyz,0.01058428110639572,0.01058428110639572
11,137.514,0.0363708,final_report_data/synthetic/w0-2_lambda0-1_beta100/nonrigid_iter11_sim0.036371.xyz,0.009275022050266968,0.009275022050266968
12,148.896,0.0347635,final_report_data/synthetic/w0-2_lambda0-1_beta100/nonrigid_iter12_sim0.034764.xyz,0.00834296000001241,0.00834296000001241
13,160.853,0.0343623,final_report_data/synthetic/w0-2_lambda0-1_beta100/nonrigid_iter13_sim0.034362.xyz,0.007843002823984108,0.007843002823984108
14,172.325,0.0331675,final_report_data/synthetic/w0-2_lambda0-1_beta100/nonrigid_iter14_sim0.033168.xyz,0.007435171299824172,0.007435171299824172
15,183.646,0.0332638,final_report_data/synthetic/w0-2_lambda0-1_beta100/nonrigid_iter15_sim0.033264.xyz,0.007241056229567651,0.007241056229567651
16,195.006,0.033734,final_report_data/synthetic/w0-2_lambda0-1_beta100/nonrigid_iter16_sim0.033734.xyz,0.007523355436396995,0.007523355436396995
17,207.223,0.033334,final_report_data/synthetic/w0-2_lambda0-1_beta100/nonrigid_iter17_sim0.033334.xyz,0.007310289775216896,0.007310289775216896
18,218.548,0.0355533,final_report_data/synthetic/w0-2_lambda0-1_beta100/nonrigid_iter18_sim0.035553.xyz,0.007972578701741983,0.007972578701741983
19,229.864,0.0351914,final_report_data/synthetic/w0-2_lambda0-1_beta100/nonrigid_iter19_sim0.035191.xyz,0.007624895436037599,0.007624895436037599
