iteration,time,similarity,outfile,error,error
0,0,0.189413,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter0.xyz,0.5233933555982522,0.5233933555982522
1,12.0756,0.160428,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter1_sim0.160428.xyz,0.36578582667343795,0.36578582667343795
2,24.7641,0.142929,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter2_sim0.142929.xyz,0.2912294862202104,0.2912294862202104
3,36.7942,0.120873,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter3_sim0.120873.xyz,0.22028460393591104,0.22028460393591104
4,49.2531,0.0996806,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter4_sim0.099681.xyz,0.15647123185891226,0.15647123185891226
5,60.8667,0.0828379,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter5_sim0.082838.xyz,0.10648791743877964,0.10648791743877964
6,73.1215,0.0707937,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter6_sim0.070794.xyz,0.07311508062602935,0.07311508062602935
7,84.6902,0.0635307,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter7_sim0.063531.xyz,0.053026272694545386,0.053026272694545386
8,98.2014,0.056196,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter8_sim0.056196.xyz,0.03855437496567702,0.03855437496567702
9,110.636,0.0508074,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter9_sim0.050807.xyz,0.0293069532536445,0.0293069532536445
10,123.144,0.047356,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter10_sim0.047356.xyz,0.02332972855809553,0.02332972855809553
11,134.726,0.0441638,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter11_sim0.044164.xyz,0.01970483606392297,0.01970483606392297
12,145.813,0.0419773,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter12_sim0.041977.xyz,0.01590527651153027,0.01590527651153027
13,157.776,0.0411615,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter13_sim0.041161.xyz,0.014596409668073594,0.014596409668073594
14,169.156,0.0381659,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter14_sim0.038166.xyz,0.013271579981664552,0.013271579981664552
15,180.501,0.0411862,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter15_sim0.041186.xyz,0.01295260027179735,0.01295260027179735
16,191.865,0.0563941,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter16_sim0.056394.xyz,0.018207730613544894,0.018207730613544894
17,203.177,0.0462007,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter17_sim0.046201.xyz,0.015285041575712728,0.015285041575712728
18,214.514,0.0498721,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter18_sim0.049872.xyz,0.015281925138529624,0.015281925138529624
19,225.815,7.23756e+10,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter19_sim72375564975.127426.xyz,6.572019873953949e+21,6.572019873953949e+21
20,237.194,0.189413,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter20_sim0.189413.xyz,0.5233933558171721,0.5233933558171721
21,248.7,0.160348,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter21_sim0.160348.xyz,0.37343431790290404,0.37343431790290404
22,260.469,0.145189,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter22_sim0.145189.xyz,0.30055189191510684,0.30055189191510684
23,272.886,0.123407,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter23_sim0.123407.xyz,0.23172141396944107,0.23172141396944107
24,284.306,0.102052,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter24_sim0.102052.xyz,0.16472817682396954,0.16472817682396954
25,295.626,0.0855558,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter25_sim0.085556.xyz,0.11351906004541026,0.11351906004541026
26,307.107,0.0727508,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter26_sim0.072751.xyz,0.07757893416226168,0.07757893416226168
27,318.535,0.0639653,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter27_sim0.063965.xyz,0.05416419773938742,0.05416419773938742
28,329.951,0.0574422,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter28_sim0.057442.xyz,0.040365690038004894,0.040365690038004894
29,341.524,0.0525165,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter29_sim0.052517.xyz,0.030888362566519025,0.030888362566519025
30,352.7,0.0504199,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter30_sim0.050420.xyz,0.025434062513449242,0.025434062513449242
31,364.515,0.0445049,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter31_sim0.044505.xyz,0.02013652311327326,0.02013652311327326
32,376.101,0.0420349,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter32_sim0.042035.xyz,0.016720913929947814,0.016720913929947814
33,387.32,0.0424541,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter33_sim0.042454.xyz,0.01507681343307196,0.01507681343307196
34,398.66,0.0393203,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter34_sim0.039320.xyz,0.014060358250485787,0.014060358250485787
35,409.953,0.0400148,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter35_sim0.040015.xyz,0.012827268852344873,0.012827268852344873
36,421.388,0.0510413,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter36_sim0.051041.xyz,0.014501930194941115,0.014501930194941115
37,432.789,431479,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter37_sim431478.916146.xyz,248450641935.62668,248450641935.62668
38,444.056,0.189413,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter38_sim0.189413.xyz,0.5233933558171721,0.5233933558171721
39,455.28,0.16134,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter39_sim0.161340.xyz,0.3624891353009359,0.3624891353009359
40,466.638,0.142294,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter40_sim0.142294.xyz,0.2868582586027465,0.2868582586027465
41,478.256,0.119121,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter41_sim0.119121.xyz,0.21576407104955764,0.21576407104955764
42,490.49,0.0992465,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter42_sim0.099246.xyz,0.1521268973956213,0.1521268973956213
43,502.165,0.0831127,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter43_sim0.083113.xyz,0.10446411931075991,0.10446411931075991
44,513.449,0.0702597,final_report_data/synthetic/w0-2_lambda0-1_beta200/nonrigid_iter44_sim0.070260.xyz,0.07142200939508389,0.07142200939508389
