iteration,time,similarity,outfile,error
0,0,0.189413,final_report_data/synthetic/w0-6_lambda0-1_beta200/nonrigid_iter0.xyz,0.5233933555982522
1,11.3999,0.161684,final_report_data/synthetic/w0-6_lambda0-1_beta200/nonrigid_iter1_sim0.161684.xyz,0.36657058140979937
2,22.5505,0.142179,final_report_data/synthetic/w0-6_lambda0-1_beta200/nonrigid_iter2_sim0.142179.xyz,0.29036454028006037
3,33.5292,0.121163,final_report_data/synthetic/w0-6_lambda0-1_beta200/nonrigid_iter3_sim0.121163.xyz,0.22172989608127022
4,44.4756,0.100321,final_report_data/synthetic/w0-6_lambda0-1_beta200/nonrigid_iter4_sim0.100321.xyz,0.15658125416234364
5,55.6414,0.0845272,final_report_data/synthetic/w0-6_lambda0-1_beta200/nonrigid_iter5_sim0.084527.xyz,0.10757489640369657
6,66.719,0.0715573,final_report_data/synthetic/w0-6_lambda0-1_beta200/nonrigid_iter6_sim0.071557.xyz,0.07388514353905226
7,78.118,0.0631175,final_report_data/synthetic/w0-6_lambda0-1_beta200/nonrigid_iter7_sim0.063118.xyz,0.05263958121148694
8,89.5278,0.0574011,final_report_data/synthetic/w0-6_lambda0-1_beta200/nonrigid_iter8_sim0.057401.xyz,0.03889693696367232
9,101.528,0.0523889,final_report_data/synthetic/w0-6_lambda0-1_beta200/nonrigid_iter9_sim0.052389.xyz,0.029704230159047183
10,113.339,0.0478756,final_report_data/synthetic/w0-6_lambda0-1_beta200/nonrigid_iter10_sim0.047876.xyz,0.023731950592216507
11,128.017,0.0445724,final_report_data/synthetic/w0-6_lambda0-1_beta200/nonrigid_iter11_sim0.044572.xyz,0.019719118095550593
12,139.539,0.0410752,final_report_data/synthetic/w0-6_lambda0-1_beta200/nonrigid_iter12_sim0.041075.xyz,0.015815261419090756
13,151.382,0.0394177,final_report_data/synthetic/w0-6_lambda0-1_beta200/nonrigid_iter13_sim0.039418.xyz,0.013866044831791078
14,162.627,0.0381859,final_report_data/synthetic/w0-6_lambda0-1_beta200/nonrigid_iter14_sim0.038186.xyz,0.01335717206433223
15,174.18,0.0401052,final_report_data/synthetic/w0-6_lambda0-1_beta200/nonrigid_iter15_sim0.040105.xyz,0.012636150171231373
16,185.363,2.70002e+07,final_report_data/synthetic/w0-6_lambda0-1_beta200/nonrigid_iter16_sim27000185.847347.xyz,1020682204457508.0
17,196.864,0.189413,final_report_data/synthetic/w0-6_lambda0-1_beta200/nonrigid_iter17_sim0.189413.xyz,0.5233933558171721
18,208.213,0.1596,final_report_data/synthetic/w0-6_lambda0-1_beta200/nonrigid_iter18_sim0.159600.xyz,0.35798442858703405
19,219.913,0.140003,final_report_data/synthetic/w0-6_lambda0-1_beta200/nonrigid_iter19_sim0.140003.xyz,0.28059584092246787
20,231.209,0.117571,final_report_data/synthetic/w0-6_lambda0-1_beta200/nonrigid_iter20_sim0.117571.xyz,0.2108350394070048
21,242.36,0.0968803,final_report_data/synthetic/w0-6_lambda0-1_beta200/nonrigid_iter21_sim0.096880.xyz,0.1479136534661464
22,253.753,0.0800144,final_report_data/synthetic/w0-6_lambda0-1_beta200/nonrigid_iter22_sim0.080014.xyz,0.10174651382102418
23,264.923,0.0692566,final_report_data/synthetic/w0-6_lambda0-1_beta200/nonrigid_iter23_sim0.069257.xyz,0.06918489655891859
24,278.481,0.0611311,final_report_data/synthetic/w0-6_lambda0-1_beta200/nonrigid_iter24_sim0.061131.xyz,0.049455382877697636
25,291.23,0.0555047,final_report_data/synthetic/w0-6_lambda0-1_beta200/nonrigid_iter25_sim0.055505.xyz,0.03647647560625332
26,304.125,0.0512466,final_report_data/synthetic/w0-6_lambda0-1_beta200/nonrigid_iter26_sim0.051247.xyz,0.02807982379888662
27,317.095,0.0458536,final_report_data/synthetic/w0-6_lambda0-1_beta200/nonrigid_iter27_sim0.045854.xyz,0.021754642516132232
28,329.165,0.0443554,final_report_data/synthetic/w0-6_lambda0-1_beta200/nonrigid_iter28_sim0.044355.xyz,0.01835806193374221
29,343.075,0.0412952,final_report_data/synthetic/w0-6_lambda0-1_beta200/nonrigid_iter29_sim0.041295.xyz,0.015192994912291962
30,356.526,0.0397128,final_report_data/synthetic/w0-6_lambda0-1_beta200/nonrigid_iter30_sim0.039713.xyz,0.013836631344372182
31,369.207,0.0389485,final_report_data/synthetic/w0-6_lambda0-1_beta200/nonrigid_iter31_sim0.038948.xyz,0.013215005149525182
32,382.185,0.0459799,final_report_data/synthetic/w0-6_lambda0-1_beta200/nonrigid_iter32_sim0.045980.xyz,0.01376020768832383
33,395.283,0.0450146,final_report_data/synthetic/w0-6_lambda0-1_beta200/nonrigid_iter33_sim0.045015.xyz,0.01810832325073982
