iteration,time,similarity,outfile
0,0,9.4243,final_report_data/contours/w0-1_lambda0-1_beta200/nonrigid_iter0.xyz
1,0.200984,6.69201,
2,0.381714,5.33398,
3,0.544637,4.49302,
4,0.707417,3.86426,
5,0.871578,3.41583,
6,1.03584,3.07638,
7,1.19979,2.85549,
8,1.37872,2.66341,
9,1.54922,2.51359,
10,1.71305,2.40562,
11,1.87884,2.32373,
12,2.07079,2.25451,
13,2.23691,2.19671,
14,2.40302,2.1478,
15,2.56941,2.10795,
16,2.73379,2.07591,
17,2.89491,2.05021,
18,3.05561,2.02993,
19,3.21692,2.01347,
20,3.3779,1.99991,
21,3.53784,1.98845,
22,3.70061,1.97878,
23,3.86421,1.97054,
24,4.02584,1.96345,
25,4.19054,1.95742,
26,4.35372,1.95225,
27,4.51725,1.94795,
28,4.68242,1.94437,
29,4.84705,1.94144,
30,5.01638,1.93923,
31,5.18147,1.93769,
32,5.34389,1.93665,
33,5.51065,1.9359,
34,5.67648,1.9355,
35,5.84018,1.93537,
36,6.05239,1.9354,
37,6.22008,1.9354,
38,6.38647,1.93554,
39,6.55303,1.9358,
40,6.71956,1.93626,
41,6.88778,1.93712,
42,7.05464,1.93837,
43,7.22187,1.94012,
44,7.39974,1.94204,
45,7.56582,1.94439,
46,7.73225,1.94735,
47,7.90226,1.9508,
48,8.07117,1.95432,
49,8.2413,1.95776,
50,8.421,1.9611,
