iteration,time,similarity,outfile,error,error
0,0,0.189413,final_report_data/synthetic/w0-2_lambda0-1_beta20/nonrigid_iter0.xyz,0.5233933555982522,0.5233933555982522
1,11.9419,0.224184,final_report_data/synthetic/w0-2_lambda0-1_beta20/nonrigid_iter1_sim0.224184.xyz,0.37345620906949156,0.37345620906949156
2,23.4996,0.181612,final_report_data/synthetic/w0-2_lambda0-1_beta20/nonrigid_iter2_sim0.181612.xyz,0.29331456154837476,0.29331456154837476
3,34.7057,0.15152,final_report_data/synthetic/w0-2_lambda0-1_beta20/nonrigid_iter3_sim0.151520.xyz,0.20918033633035374,0.20918033633035374
4,46.4816,0.118622,final_report_data/synthetic/w0-2_lambda0-1_beta20/nonrigid_iter4_sim0.118622.xyz,0.13508047657479041,0.13508047657479041
5,57.8871,0.0936852,final_report_data/synthetic/w0-2_lambda0-1_beta20/nonrigid_iter5_sim0.093685.xyz,0.0788324479796388,0.0788324479796388
6,69.2411,0.0732499,final_report_data/synthetic/w0-2_lambda0-1_beta20/nonrigid_iter6_sim0.073250.xyz,0.03890318495556908,0.03890318495556908
7,81.1601,0.0589298,final_report_data/synthetic/w0-2_lambda0-1_beta20/nonrigid_iter7_sim0.058930.xyz,0.021756087416976443,0.021756087416976443
8,92.2715,0.0492533,final_report_data/synthetic/w0-2_lambda0-1_beta20/nonrigid_iter8_sim0.049253.xyz,0.014158892283151108,0.014158892283151108
9,103.552,0.0415075,final_report_data/synthetic/w0-2_lambda0-1_beta20/nonrigid_iter9_sim0.041508.xyz,0.010107907707839257,0.010107907707839257
10,116.283,0.0373682,final_report_data/synthetic/w0-2_lambda0-1_beta20/nonrigid_iter10_sim0.037368.xyz,0.007820309564812881,0.007820309564812881
11,127.267,0.0330289,final_report_data/synthetic/w0-2_lambda0-1_beta20/nonrigid_iter11_sim0.033029.xyz,0.00617055732437134,0.00617055732437134
12,139.033,0.0302938,final_report_data/synthetic/w0-2_lambda0-1_beta20/nonrigid_iter12_sim0.030294.xyz,0.005226056422507602,0.005226056422507602
13,151.345,0.0284326,final_report_data/synthetic/w0-2_lambda0-1_beta20/nonrigid_iter13_sim0.028433.xyz,0.004468996628809109,0.004468996628809109
14,162.975,0.0273159,final_report_data/synthetic/w0-2_lambda0-1_beta20/nonrigid_iter14_sim0.027316.xyz,0.003984820515844045,0.003984820515844045
15,174.353,0.0262829,final_report_data/synthetic/w0-2_lambda0-1_beta20/nonrigid_iter15_sim0.026283.xyz,0.0035686382909349674,0.0035686382909349674
16,186.204,0.0257077,final_report_data/synthetic/w0-2_lambda0-1_beta20/nonrigid_iter16_sim0.025708.xyz,0.003024494559541053,0.003024494559541053
17,198.843,0.0236936,final_report_data/synthetic/w0-2_lambda0-1_beta20/nonrigid_iter17_sim0.023694.xyz,0.0025921669370006137,0.0025921669370006137
18,210.828,0.0236739,final_report_data/synthetic/w0-2_lambda0-1_beta20/nonrigid_iter18_sim0.023674.xyz,0.002531128203166719,0.002531128203166719
19,223.152,0.0231655,final_report_data/synthetic/w0-2_lambda0-1_beta20/nonrigid_iter19_sim0.023166.xyz,0.0023350869967234053,0.0023350869967234053
20,234.941,0.0238666,final_report_data/synthetic/w0-2_lambda0-1_beta20/nonrigid_iter20_sim0.023867.xyz,0.002214367461093334,0.002214367461093334
21,248.019,0.0224216,final_report_data/synthetic/w0-2_lambda0-1_beta20/nonrigid_iter21_sim0.022422.xyz,0.0018821594043095667,0.0018821594043095667
22,259.41,0.0213608,final_report_data/synthetic/w0-2_lambda0-1_beta20/nonrigid_iter22_sim0.021361.xyz,0.001703776136921924,0.001703776136921924
23,270.821,0.0227585,final_report_data/synthetic/w0-2_lambda0-1_beta20/nonrigid_iter23_sim0.022759.xyz,0.0020401626907968064,0.0020401626907968064
24,282.258,0.0221604,final_report_data/synthetic/w0-2_lambda0-1_beta20/nonrigid_iter24_sim0.022160.xyz,0.0019428820710774065,0.0019428820710774065
25,293.731,0.0222844,final_report_data/synthetic/w0-2_lambda0-1_beta20/nonrigid_iter25_sim0.022284.xyz,0.0017713542902801829,0.0017713542902801829
