iteration,time,similarity,outfile,error
0,0,0.189413,final_report_data/synthetic/w0-1_lambda0-1_beta200/nonrigid_iter0.xyz,0.5233933555982522
1,11.016,0.160946,final_report_data/synthetic/w0-1_lambda0-1_beta200/nonrigid_iter1_sim0.160946.xyz,0.3664937501931793
2,23.6809,0.142769,final_report_data/synthetic/w0-1_lambda0-1_beta200/nonrigid_iter2_sim0.142769.xyz,0.2905947154125704
3,37.2155,0.119864,final_report_data/synthetic/w0-1_lambda0-1_beta200/nonrigid_iter3_sim0.119864.xyz,0.21884191970624975
4,48.59,0.100086,final_report_data/synthetic/w0-1_lambda0-1_beta200/nonrigid_iter4_sim0.100086.xyz,0.15558967676961502
5,59.7715,0.0830798,final_report_data/synthetic/w0-1_lambda0-1_beta200/nonrigid_iter5_sim0.083080.xyz,0.10667999434275963
6,70.8941,0.0709483,final_report_data/synthetic/w0-1_lambda0-1_beta200/nonrigid_iter6_sim0.070948.xyz,0.07250495139847757
7,81.7951,0.0627413,final_report_data/synthetic/w0-1_lambda0-1_beta200/nonrigid_iter7_sim0.062741.xyz,0.051973105954404894
8,93.3278,0.0557697,final_report_data/synthetic/w0-1_lambda0-1_beta200/nonrigid_iter8_sim0.055770.xyz,0.03864542351569919
9,104.673,0.0522975,final_report_data/synthetic/w0-1_lambda0-1_beta200/nonrigid_iter9_sim0.052297.xyz,0.029050614236822613
10,115.656,0.0470076,final_report_data/synthetic/w0-1_lambda0-1_beta200/nonrigid_iter10_sim0.047008.xyz,0.023109030170589517
11,126.539,0.0441595,final_report_data/synthetic/w0-1_lambda0-1_beta200/nonrigid_iter11_sim0.044160.xyz,0.01893589164551792
12,138.593,0.0418873,final_report_data/synthetic/w0-1_lambda0-1_beta200/nonrigid_iter12_sim0.041887.xyz,0.01583808468906985
13,150.868,0.0393159,final_report_data/synthetic/w0-1_lambda0-1_beta200/nonrigid_iter13_sim0.039316.xyz,0.013873171162302614
14,162.371,0.0382614,final_report_data/synthetic/w0-1_lambda0-1_beta200/nonrigid_iter14_sim0.038261.xyz,0.013248951101194218
15,173.715,0.0660597,final_report_data/synthetic/w0-1_lambda0-1_beta200/nonrigid_iter15_sim0.066060.xyz,0.02014417433074268
16,184.981,0.0461181,final_report_data/synthetic/w0-1_lambda0-1_beta200/nonrigid_iter16_sim0.046118.xyz,0.015260922737335893
17,196.013,0.0399297,final_report_data/synthetic/w0-1_lambda0-1_beta200/nonrigid_iter17_sim0.039930.xyz,0.012974829909460747
18,206.986,0.0450604,final_report_data/synthetic/w0-1_lambda0-1_beta200/nonrigid_iter18_sim0.045060.xyz,0.013789401643644736
19,218.054,8.53186e+09,final_report_data/synthetic/w0-1_lambda0-1_beta200/nonrigid_iter19_sim8531864880.844433.xyz,8.491080823320997e+19
20,229.584,0.189413,final_report_data/synthetic/w0-1_lambda0-1_beta200/nonrigid_iter20_sim0.189413.xyz,0.5233933558171721
21,240.865,0.162216,final_report_data/synthetic/w0-1_lambda0-1_beta200/nonrigid_iter21_sim0.162216.xyz,0.3657141790273955
22,252.23,0.142716,final_report_data/synthetic/w0-1_lambda0-1_beta200/nonrigid_iter22_sim0.142716.xyz,0.29011158057562125
23,263.235,0.12021,final_report_data/synthetic/w0-1_lambda0-1_beta200/nonrigid_iter23_sim0.120210.xyz,0.2191338317529005
24,274.19,0.098723,final_report_data/synthetic/w0-1_lambda0-1_beta200/nonrigid_iter24_sim0.098723.xyz,0.15492737374038126
25,285.256,0.0831376,final_report_data/synthetic/w0-1_lambda0-1_beta200/nonrigid_iter25_sim0.083138.xyz,0.10523053874710596
26,297.118,0.0709756,final_report_data/synthetic/w0-1_lambda0-1_beta200/nonrigid_iter26_sim0.070976.xyz,0.07239374277023894
27,309.09,0.0635341,final_report_data/synthetic/w0-1_lambda0-1_beta200/nonrigid_iter27_sim0.063534.xyz,0.05171694123792305
28,321.138,0.0562796,final_report_data/synthetic/w0-1_lambda0-1_beta200/nonrigid_iter28_sim0.056280.xyz,0.037983203744207675
29,333.861,0.0515224,final_report_data/synthetic/w0-1_lambda0-1_beta200/nonrigid_iter29_sim0.051522.xyz,0.028793624433409402
30,346.469,0.0463758,final_report_data/synthetic/w0-1_lambda0-1_beta200/nonrigid_iter30_sim0.046376.xyz,0.022710315326313898
31,358.402,0.0442231,final_report_data/synthetic/w0-1_lambda0-1_beta200/nonrigid_iter31_sim0.044223.xyz,0.019297807269986905
32,370.19,0.0414383,final_report_data/synthetic/w0-1_lambda0-1_beta200/nonrigid_iter32_sim0.041438.xyz,0.01559798542489193
33,381.188,0.0405733,final_report_data/synthetic/w0-1_lambda0-1_beta200/nonrigid_iter33_sim0.040573.xyz,0.014172973625662253
34,392.834,0.0399714,final_report_data/synthetic/w0-1_lambda0-1_beta200/nonrigid_iter34_sim0.039971.xyz,0.013679614713148531
35,404.308,0.0436741,final_report_data/synthetic/w0-1_lambda0-1_beta200/nonrigid_iter35_sim0.043674.xyz,0.01422761934222828
